server_id,server_name,bmc_type,result,best_path,best_mode,best_http,best_score,best_unavailable,error
432,"server10","ilo4","HTML5_READY","/html/rc_info.html?ipmi_kvm_auto=1","proxy_autolaunch",200,110,0,""
433,"server11","ilo4","HTML5_READY","/html/rc_info.html?ipmi_kvm_auto=1","proxy_autolaunch",200,110,0,""
434,"server12","ilo4","HTML5_READY","/html/rc_info.html?ipmi_kvm_auto=1","proxy_autolaunch",200,110,0,""
435,"server13","ilo4","HTML5_READY","/html/rc_info.html?ipmi_kvm_auto=1","proxy_autolaunch",200,110,0,""
436,"server14","ilo4","HTML5_READY","/html/rc_info.html?ipmi_kvm_auto=1","proxy_autolaunch",200,110,0,""
437,"server15","ilo4","HTML5_READY","/html/rc_info.html?ipmi_kvm_auto=1","proxy_autolaunch",200,110,0,""
438,"server16","ilo4","HTML5_READY","/html/rc_info.html?ipmi_kvm_auto=1","proxy_autolaunch",200,110,0,""
439,"server17","ilo4","HTML5_READY","/html/rc_info.html?ipmi_kvm_auto=1","proxy_autolaunch",200,110,0,""
440,"server18","ilo4","HTML5_READY","/html/rc_info.html?ipmi_kvm_auto=1","proxy_autolaunch",200,110,0,""
441,"server19","ilo4","HTML5_READY","/html/rc_info.html?ipmi_kvm_auto=1","proxy_autolaunch",200,110,0,""
442,"server20","ilo4","HTML5_READY","/html/rc_info.html?ipmi_kvm_auto=1","proxy_autolaunch",200,110,0,""
